"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","125,874","125,874","125,874","125,874","59.69K","-0.28%"
"11/01/2024","126,233","131,475","132,655","124,415","1.69M","-3.89%"
"10/01/2024","131,341","132,460","135,475","129,365","1.63M","-0.94%"
"09/01/2024","132,581","137,015","138,775","130,855","1.54M","-4.02%"
"08/01/2024","138,132","128,050","139,425","123,130","1.98M","7.81%"
"07/01/2024","128,123","125,595","130,590","125,060","1.64M","2.17%"
"06/01/2024","125,401","122,880","126,080","119,750","1.65M","2.26%"
"05/01/2024","122,627","128,150","131,500","122,215","1.85M","-3.71%"
"04/01/2024","127,350","128,830","131,400","123,620","2.15M","-1.12%"
"03/01/2024","128,794","130,995","131,305","126,840","1.73M","-1.41%"
"02/01/2024","130,638","128,490","133,590","126,610","1.55M","1.93%"
"01/01/2024","128,162","135,200","135,345","126,575","2.61M","-5.62%"
"12/01/2023","135,790","128,100","136,090","125,675","1.75M","6.24%"
"11/01/2023","127,818","114,530","127,975","114,230","1.96M","11.54%"
"10/01/2023","114,599","116,990","117,695","111,870","2.72M","-2.24%"
"09/01/2023","117,222","118,270","120,975","113,985","2.36M","-0.23%"
"08/01/2023","117,493","122,270","123,160","115,670","3.31M","-4.20%"
"07/01/2023","122,648","120,005","124,250","117,035","3.11M","2.32%"
"06/01/2023","119,864","109,560","122,870","108,725","2.62M","9.92%"
"05/01/2023","109,048","105,250","112,545","102,330","2.58M","3.12%"
"04/01/2023","105,753","102,205","109,395","100,055","1.75M","3.55%"
"03/01/2023","102,128","106,400","107,990","97,200","2.78M","-3.79%"
"02/01/2023","106,156","113,900","114,100","105,700","2.65M","-7.00%"
"01/01/2023","114,150","110,745","115,570","104,900","3.05M","2.74%"